,label
0,105
1,58
2,128
3,57
4,145
5,82
6,66
7,101
8,123
9,26
10,41
11,29
12,173
13,60
14,85
15,101
16,51
17,24
18,53
19,66
20,19
21,167
22,0
23,127
24,34
25,32
26,29
27,3
28,101
29,163
30,61
31,80
32,119
33,86
34,44
35,100
36,40
37,51
38,94
39,10
40,72
41,101
42,103
43,42
44,178
45,8
46,93
47,42
48,73
49,86
50,103
51,99
52,198
53,164
54,80
55,174
56,189
57,162
58,27
59,106
60,62
61,116
62,106
63,66
64,150
65,199
66,33
67,176
68,66
69,3
70,130
71,100
72,52
73,179
74,89
75,25
76,184
77,141
78,60
79,82
80,131
81,100
82,28
83,40
84,128
85,135
86,105
87,59
88,101
89,120
90,120
91,26
92,191
93,60
94,96
95,131
96,179
97,70
98,100
99,35
100,60
101,107
102,181
103,77
104,80
105,146
106,1
107,191
108,34
109,61
110,5
111,131
112,95
113,85
114,103
115,187
116,16
117,61
118,184
119,174
120,131
121,35
122,41
123,157
124,9
125,175
126,26
127,20
128,29
129,89
130,128
131,143
132,51
133,100
134,196
135,66
136,111
137,46
138,170
139,99
140,182
141,135
142,73
143,94
144,151
145,148
146,69
147,157
148,35
149,94
150,127
151,171
152,73
153,46
154,130
155,86
156,81
157,12
158,43
159,59
160,43
161,128
162,26
163,157
164,165
165,49
166,35
167,74
168,95
169,16
170,70
171,114
172,197
173,101
174,83
175,128
176,21
177,7
178,182
179,192
180,117
181,124
182,34
183,32
184,90
185,158
186,16
187,172
188,164
189,51
190,55
191,81
192,74
193,113
194,146
195,131
196,181
197,163
198,166
199,128
200,143
201,135
202,182
203,96
204,16
205,179
206,116
207,108
208,94
209,91
210,96
211,66
212,187
213,164
214,176
215,73
216,197
217,127
218,150
219,138
220,52
221,80
222,19
223,24
224,17
225,67
226,163
227,77
228,111
229,143
230,118
231,49
232,28
233,105
234,40
235,73
236,49
237,50
238,26
239,176
240,60
241,111
242,105
243,29
244,73
245,45
246,73
247,74
248,9
249,25
250,73
251,33
252,80
253,25
254,85
255,105
256,80
257,117
258,28
259,11
260,162
261,95
262,111
263,40
264,80
265,112
266,77
267,168
268,49
269,122
270,177
271,24
272,165
273,98
274,120
275,67
276,109
277,111
278,134
279,105
280,45
281,4
282,106
283,28
284,157
285,52
286,23
287,79
288,3
289,11
290,106
291,96
292,113
293,103
294,60
295,40
296,102
297,81
298,108
299,93
300,187
301,157
302,182
303,145
304,195
305,176
306,9
307,107
308,199
309,165
310,183
311,163
312,191
313,131
314,191
315,142
316,153
317,97
318,128
319,146
320,31
321,140
322,148
323,8
324,190
325,128
326,25
327,116
328,26
329,85
330,35
331,186
332,120
333,176
334,28
335,122
336,136
337,81
338,112
339,77
340,178
341,16
342,7
343,123
344,101
345,186
346,32
347,80
348,131
349,117
350,49
351,44
352,92
353,180
354,81
355,50
356,95
357,48
358,49
359,16
360,77
361,62
362,17
363,125
364,17
365,70
366,122
367,67
368,100
369,119
370,174
371,33
372,63
373,168
374,49
375,98
376,86
377,154
378,105
379,104
380,9
381,86
382,39
383,105
384,85
385,15
386,103
387,174
388,105
389,182
390,143
391,69
392,191
393,0
394,16
395,142
396,106
397,47
398,101
399,155
400,151
401,90
402,123
403,112
404,85
405,171
406,100
407,183
408,66
409,79
410,38
411,21
412,73
413,73
414,66
415,127
416,86
417,101
418,66
419,25
420,169
421,69
422,191
423,151
424,66
425,25
426,114
427,89
428,35
429,108
430,141
431,0
432,86
433,173
434,28
435,131
436,29
437,5
438,28
439,169
440,196
441,50
442,163
443,60
444,11
445,12
446,101
447,195
448,162
449,79
450,52
451,1
452,147
453,106
454,128
455,49
456,41
457,186
458,195
459,92
460,96
461,140
462,179
463,77
464,165
465,130
466,81
467,46
468,75
469,51
470,76
471,156
472,70
473,98
474,53
475,121
476,149
477,51
478,105
479,146
480,162
481,112
482,44
483,45
484,197
485,128
486,72
487,29
488,3
489,78
490,17
491,88
492,188
493,123
494,26
495,198
496,98
497,52
498,153
499,86
500,163
501,113
502,28
503,112
504,108
505,116
506,131
507,95
508,152
509,131
510,182
511,30
512,38
513,5
514,74
515,112
516,16
517,42
518,152
519,107
520,103
521,158
522,34
523,196
524,116
525,96
526,106
527,3
528,68
529,24
530,128
531,77
532,103
533,25
534,173
535,123
536,74
537,100
538,123
539,50
540,11
541,2
542,150
543,63
544,34
545,86
546,70
547,16
548,53
549,94
550,35
551,49
552,72
553,8
554,18
555,3
556,88
557,24
558,123
559,73
560,73
561,29
562,15
563,29
564,38
565,168
566,77
567,183
568,100
569,177
570,24
571,44
572,38
573,8
574,58
575,100
576,76
577,177
578,30
579,106
580,122
581,196
582,93
583,112
584,123
585,173
586,151
587,96
588,74
589,99
590,198
591,1
592,57
593,2
594,170
595,101
596,88
597,169
598,17
599,119
600,18
601,63
602,52
603,32
604,105
605,196
606,93
607,9
608,123
609,112
610,96
611,17
612,80
613,7
614,67
615,96
616,187
617,49
618,186
619,25
620,17
621,65
622,151
623,104
624,54
625,82
626,158
627,76
628,54
629,50
630,66
631,88
632,44
633,48
634,32
635,104
636,85
637,25
638,32
639,59
640,29
641,59
642,131
643,77
644,98
645,33
646,112
647,88
648,74
649,93
650,103
651,135
652,49
653,156
654,86
655,106
656,176
657,111
658,154
659,27
660,4
661,165
662,58
663,162
664,52
665,153
666,31
667,16
668,85
669,43
670,21
671,99
672,44
673,189
674,108
675,119
676,18
677,61
678,29
679,13
680,2
681,0
682,54
683,96
684,101
685,94
686,95
687,114
688,86
689,61
690,101
691,116
692,76
693,77
694,119
695,96
696,5
697,170
698,25
699,74
700,6
701,199
702,101
703,66
704,62
705,28
706,29
707,86
708,103
709,169
710,6
711,86
712,43
713,146
714,101
715,140
716,76
717,60
718,26
719,66
720,12
721,86
722,66
723,39
724,197
725,40
726,96
727,16
728,66
729,0
730,130
731,144
732,123
733,151
734,108
735,73
736,100
737,86
738,69
739,40
740,36
741,141
742,60
743,112
744,69
745,123
746,13
747,99
748,196
749,86
750,111
751,146
752,75
753,76
754,113
755,67
756,188
757,131
758,131
759,16
760,106
761,80
762,164
763,45
764,96
765,154
766,112
767,174
768,171
769,67
770,135
771,52
772,60
773,66
774,179
775,118
776,40
777,96
778,117
779,67
780,92
781,74
782,152
783,120
784,103
785,9
786,44
787,183
788,131
789,174
790,197
791,73
792,98
793,107
794,73
795,60
796,184
797,19
798,49
799,34
800,137
801,127
802,96
803,96
804,74
805,176
806,9
807,39
808,74
809,48
810,106
811,155
812,179
813,199
814,185
815,70
816,49
817,73
818,77
819,122
820,54
821,123
822,158
823,82
824,87
825,127
826,11
827,103
828,24
829,188
830,78
831,1
832,186
833,87
834,117
835,130
836,5
837,100
838,165
839,122
840,73
841,103
842,101
843,58
844,48
845,3
846,70
847,3
848,60
849,23
850,94
851,23
852,100
853,8
854,138
855,38
856,40
